Age,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
100 years or over,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,119,161,151,153,174,156,182
102 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,44,99,136,133,142,149,140
103 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,31,94,121,120,132,142
104 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,16,26,92,114,113,128
105 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,13,11,24,88,108,106
106 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,6,11,10,23,86,105
107 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5,6,12,9,24,84
108 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,4,6,11,11,24
109 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,4,6,11,10
110 years or over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,10,16,20,26,38
